Quantity,Part Number,Part Name,Latest Version,Description,Process Type,Material Type,Material Finish,Other Details,Vendor,Lead Time (wk),Unit Cost (USD),Ext. Cost (USD),Released?,Notes
1,1,01 rear brace left - front,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,2,"02 - rear brace, left - back",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,3,03 - rear brace right - front,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,4,"04 - rear brace, right- back",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,5,"05 - frame plate, right - front",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,6,"06 - frame plate, right - rear1",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,7,"07 - frame plate, right - rear2",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,8,"08 - frame plate, right - rear3",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,9,"09 - frame plate, left - front",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,10,"10 - frame plate, left - rear1",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,11,"11 - frame plate, left - rear2",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,12,"12 - frame plate, left - rear3",V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,13,13 - frame head - main,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,14,14 - frame head - top,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,15,15 - frame head - bottom,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,16,16 - shock mount lower left - top,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,17,17 - shock mount lower left - bottom,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
4,18,18 - frame strut - body,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
8,19,19 - frame strut - cap,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,20,20 - shock mount lower right - top,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,21,21 - shock mount lower right - bottom,V1.0,,Machining,Aluminum,As Machined,,Fictiv,1,,,,
1,22,22 - reservoir bracket,V1.0,,Sheet Cutting,Steel,As cut,16 guage ,Fictiv,1,,,,
1,23,23 - pan,V1.0,,Sheet Cutting,Steel,As cut,18 guage,Fictiv,1,,,,
1,24,24 - pan back,V1.0,,Sheet Cutting,Steel,As cut,18 guage,Fictiv,1,,,,
1,25,25 - pan front,V1.0,,Sheet Cutting,Steel,As cut,18 guage,Fictiv,1,,,,
2,26,26 - seat support,V1.0,,Sheet Cutting,Steel,As cut,18 guage,Fictiv,1,,,,
1,27,27 - bracket tail cover,V1.0,,Sheet Cutting,Steel,As cut,16+18 guage,Fictiv,1,,,,
1,28,28 - bracket tail light support,V1.0,,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,29,29 - front bracket(M900),V1.0,M900 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
4,30,30 - bracket wire hold,V1.0,,Sheet Cutting,Steel,As cut,18 guage,Fictiv,1,,,,
4,31,31 - bracket wire hold long,V1.0,,Sheet Cutting,Steel,As cut,18 guage,Fictiv,1,,,,
1,32,32 - bracket battery support carbd(M900),V1.0,M900 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,33,33 - bracket fuel pump(M900),V1.0,M900 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,34,34 - bracket starter relay,V1.0,620 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
2,35,35 - bracket coil front(620),V1.0,620 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,36,36 - bracket wire holder,V1.0,,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,37,37 - tank mount rear,V1.0,,Sheet Cutting,Steel,As cut,16+18 guage,Fictiv,1,,,,
2,38,38 - coil bracket 620,V1.0,620 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
2,39,39 - Hyper foot shield,V1.0,M900 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
2,40,40 - Hyper foot shield w-o holes,V1.0,M900 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
2,41,41 - S2R foot shield(620),V1.0,620 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,42,42 - front bracket(620),V1.0,620 only,Sheet Cutting,Steel,As cut,16 guage,Fictiv,1,,,,
1,43,43 - drill guide 1.5 brace,V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
1,44,44 - drill guide 1.25 brace,V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
1,45,45 - drill guide 1.5 tubing,V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
1,46,46 - drill guide swingarm,V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
4,47,47 - tube support long,V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
4,48,48 - tube support short,V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
4,49,"49 - spacer, 12mm x 7.5L(620)",V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
2,50,50 - adapter air filter(620),V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
2,51,"51 - stand off, 20mm",V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
2,52,"52 - spacer, ignition switch",V1.0,,Machining,Aluminum,As machined,,Fictiv,1,,,,
2,53,53 - tank support ABS,V1.0,,3D Printed,ABS,As finished,,Fictiv,1,,,,
2,54,54 - frame tube lower,V1.0,"1.5"" steel tube",Tube bending,Steel,Powder coated,,Fictiv,1,,,,
2,55,55 - frame tube upper,V1.0,"1.5"" steel tube",Tube bending,Steel,Powder coated,,Fictiv,1,,,,
2,56,56 - frame tube rear,V1.0,"1.25"" steel tube",Tube bending,Steel,Powder coated,,Fictiv,1,,,,
1,57,57 - frame tube support,V1.0,"1.25"" steel tube, 180 deg",Tube bending,Steel,Powder coated,,Fictiv,1,,,,
